input,llm_results
しゃしん　を　とって　ください,Molim te da uzeš foto.
この かさを かりても いいですか。・・・ええ、いいですよ。どうぞ。,"Ako zahvaljujem da koristim ovu paraplu? Okey, molim Vas."
ここに にもつを おいてもいいですか。・・・すみません、ちょっと・・・。,"Here's the Croatian translation of the given Japanese sentence:

""Ovde možeš оставiti ovo？ Excuse me, just a second."
ここで サッカーを しては いけません。,"Here, you cannot play football."
田中さん、お元気ですか。,"Gospodin Tanaka, kakovi ste?"
わたしは今、広島にいます。,Sada sam u Hirošima.
サリーさんと旅行しています。,Putujem zajedno s Sally.
きのうは宮島へ行きました。,Jesternji sam posetio Miđajima.
いい天気で、海がとてもきれいでした。,Dobar vreme jer je more veoma lijelo.
きょうは紅葉を見に行きました。,Danas sam posetio križun.
昼に紅葉のてんぷらを食べました。,Jel sam teppuru od listova oko poludnia.
とてもおいしかったです。,Vrlo je bio smazno.
田中さんは食べたことがありますか。,Je li Gospodin Tanaka jelo?
広島でおいしいお土産を買いましたから、来週持って行きます。,"U Hiroshima sam kupio dobar izvor, i će ih dovesti u next tjedan."
それでは、また。さようなら。,"Bićemo se videti još, Brigadeo."
かぞくと教会へ行こうとおもっています。,Planimo da idemo u crkvu sa porodicom.
まだ読んでいませんから、わかりません。,Nije mi jasan jer još nisam pročitao.
バリへ行くつもりです。,Mislim da ćeš u Bali ići.
松本部長と食べるよていです。,Glavman Matsumoto i ja planiram da jedem s njim.
こっかいぎじどうの見学のよていです。,Planiramo posetiti Ustavni Sud.
9時36分につくよていです。,Planirao je da stigne u 9:36.
はがいたくて、かたいものが食べられません。,Jaz osijetljava mrzavu i ne mogu jeđi硬いもの。
歯が痛くて、硬いものが食べられません。,Zahvatil je zahvatan od zuba i ne mogu da jedem teške stvari.
わたしは木村さんにけっこんしきにしょうたいされました。,Bila je mi planifikacija oženjenja sa Kimurom.
私は木村さんに結婚式に招待されました。,Ја сам изведењ са стране Кимура на брак.
夏休みに1ヶ月アルバイトをして15万円もらった。1日当たり5千円もらったことになる。,"Tijekom ljetnih vacacije smo radili posao na pol ovaj mesec i tako smo zarabotali 150 000 jen. Što se da kaži, ćeš dobiti pet hiljada za dan."
彼が住みたがっているのは関東だが、私が住みたいのは関西の方だ。,"Dok on je zahvalan da se boriti za život u Kantō, ja sam tko se voli na Kansai."
この町は車がないと生活が出来ないから、どの家でも1台か2台は車がある。,"Ovaj grad je takav da se ne može živeti bez auta, pa postoje domovi koji imaju jedno ili dva auta."
"くだけた話し方はまだあまり慣れていないけれど、少しは話せるようになった。
 ","Još nije posebno习惯 на този начин разговорити, але негdje се понај-мало изражават."
"日本に留学中は、ホームステイの家族をはじめ色々な人にお世話になった。
 ","Dok studirao sam u Japoni, domaćinja i mnogo ljudи me pomagali su."
もうこれ以上は食べられません。,Nema više da jedem.
アメリカではR指定(R-rated)の映画は、18歳以上の人しか見られません。 ,"U Americi, R-ocena filmove se ne mogu gledati osim ljudi starijih od 18 godina."
マイク：大家さん、ちょっとよろしいですか。,Майк: Можете ли вы дать мне一小уточак?
大家：ああ、マイクさん、こんばんは。どうしましたか。,"大家：Dobro veče, Miki. Koji je problem?"
マイク：　あのう、ちょっと困ったことがあるんですが…。,"Mike: Neh, postoje problem…"
大家：　また、どこか壊れたんですか。,"大家：　また、どこか壊れたんですか。

Hajde, kažite mi što se je opet razglobovalo?"
マイク：　いえ、そうじゃなくて、あ、それもあるんですが…。,"マイケル：　いえ、そうじゃなくて、あ、それもあるんですが…

Mike: Ne, nije tako, ali posto ima i to…"
実は、先週隣に引っ越して来た学生が夜中にうるさくて、寝られないんですよ。,"U stvari, student koji je pre sedmicu se preselio pored moje kuće je tako šumoviti po noci što mi ne dopušta da spavam."
大家：　ああ、小林君ね。,"Ah, Vladimir Kobajashić ša!"
マイク：　ええ、毎晩友達が来て、夜中まで大声でワイワイ話すし、音楽はガンガンうるさいし、,"Jah, svaki vecer prijatelji zazivaju, voce je jako veliki sve do rana, a muzyka je potem gromova..."
階段をバタバタ上がり下りするし。この間、一度注意したんですけど、全然静かにしてくれなくて…。,"Kada ulazim i izlazim po stepenicama, sjajno se šurudim. Posljednjih dana sam mu jedan put rekao da bude tišije, ali je sve vreme teško nasuplja…"
大家：　へえ、彼はまじめそうに見えたけどねえ。,"Ah, što će, pa je izgledao jako rađan."
"日本人は、「サービスが第一」という考え方を、ビジネスの様々なところで生かしている。
       ","Japanci su, sa svojim ""dušom usluga"" (usluđeno mišljenje), primeni u različitim delima poslovanja."
どんなところにでも自動販売機が置いてあることから、日本は犯罪が少ない安全な国だと言う人もいる。,"Jer gdje god иа се на posto је automatska vending mashine, neki ljudи tvrdi da Japana je безопасna земјa sa male престъпности."
和紙の使い方は時代と共に、もっと多様になってきました。,Upotreba washi papira je postala još više razliedničana kako vreme je proteklo.
例えば、和紙の新しい利用法を開発しようとした技術者達は、その薄さと強さをさらに改良し「電解コンデンサ紙」というものを生み出しました。,"Inženjери koji su razvijali novi značaj za washi papir su uspešno popravili njegove karakteristike, osigurajući veću tenkost i snagu, što je rezultirao у створињу elektrolitnog kondensatorske papira."
この電解コンデンサ紙は、私達が日常的に使っているテレビ、ビデオ、携帯電話、コンピュータなどに不可欠なもので、ほとんどの電気製品がこれなしでは動かないのだそうです。,"Papir za elektrolitni kondensator koji koristimo svakodневno u televizorima, video uređainjima, mobilnim telefonima i računarima je neizbeheimer. Jer većina e-urudžajova ne može da funkcionira bez njega."
実は、面白いことに、和紙の「和」の字には、「仲良くする」「うまく混ざる」という意味もあります。,"Interestingno je da značajke ""Harmony"" i ""Blend"" takođe su sadržane u nazivu ""Washi"", što osvajaju vašu privlačnost prema ovom duobnom značenju."
日本特有の紙であり「仲良くして、うまく混ざる」という意味を持つ「和紙」は、昔も今もその特長を生かしながら、他のものと上手に混ざり合って違うものに生まれ変わっています。,"Japanski unikatni papir, koji znaci ""prijačiti se i dobro mešati"", je, poput v歴史a tako i danas, koristi svoje posebne osobine za dobro mešanje sa drugim stvarima, što stvara novo i razlicite produkty."
和紙のこのような生かされ方を考えると、和紙は私達に「調和」のメッセージを送ってくれているような気がしませんか。,"Kada razmišljaš o tome kako je wa-shi (japanski tradicionalni papir) spremljen da se takođe izdržava, ne osupno li te je ideja da nam wa-shi posilja poruku o ""harmoniji""？"
/1/食品売り場を急ぎ足でまわる。,/1/ Briskno prolazi kroz oddelok sa jidlom.
|/1/彼は急ぎ足で立ち去った。,"He left in a hurry, rushing off."
|/1/くるりと向きを変えて、食堂に急ぎ足で向かっていった。|,Napravi je đurđevski pohod i急速に食堂へ向かった。
/1/荷物の送り主は大学時代の友人だった,Poslao mi je bagaz učenik sa fakulteta.
/1/区役所での相談は無料です,У localVar Municipality Office је gratuits консультацija.
|/1/区役所に電話をする|,Na općinu da pozvoni
/1/区役所から郵便が届いた|,Posila je stigla iz okrugove.
/1/公務員や金融機関は週休２日制です,Публичните служители и bancи имаат по-weekend уваžavanе за два деня.
｜/1/週休２日制で生徒の学力低下や問題行動の増加が心配される,Iz dvoušabnog sistema u školama javlja se padanje akademskih rezultata и povećana frekvencija problemnih dejanja у studentima.
｜/1/私は週休１日です｜,Ja imam jedan dan odmora po tjednu.
/1/使っていないテレホンカードがたくさんあります,Ima mnogo neizpolazivih telefonskih karti.
｜/1/公衆電話にテレホンカードを差し込む｜,Javni telefon u koji se vrusti telefonska karta
/1/ホチキスで袋を閉じる。,Zatvori toru sa kaka.
|/1/上をホチキスで３か所留めておく。,Stavite tri stavelj na vrh.
