input,llm_results
しゃしん　を　とって　ください,"Molim vas, pogledajte to."
この かさを かりても いいですか。・・・ええ、いいですよ。どうぞ。,"Možete li ovo isprobati, čak i ako se pogriješi...? Naravno, u redu je. Slobodno."
ここに にもつを おいてもいいですか。・・・すみません、ちょっと・・・。,"Mogu li ovo ostaviti ovdje... izvinite, malo."
ここで サッカーを しては いけません。,Nema smeta da igraš nogomet.
田中さん、お元気ですか。,"Dobar dan, djelić."
わたしは今、広島にいます。,Trenutno sam u Hirosimi.
サリーさんと旅行しています。,Putujem s Marijom.
きのうは宮島へ行きました。,Jučer sam posjetio/posjetila Miyajima.
いい天気で、海がとてもきれいでした。,Ugodno je vrijeme i more je bilo jako lijepo.
きょうは紅葉を見に行きました。,Danas sam posjetio/la prepolovljeno lišće.
昼に紅葉のてんぷらを食べました。,Kasino sam večerbao s listom jesenskog gora.
とてもおいしかったです。,Vrlo je ukusno.
田中さんは食べたことがありますか。,Je li iko od vas ikada jeo ovaj?
広島でおいしいお土産を買いましたから、来週持って行きます。,"Dohvatit ću vam nešto ukusno što sam kupio u Hirosimi, tako da ga donosim sljedeći tjedan."
それでは、また。さようなら。,Dobra je bila suradnja. Vidimo se uskoro.
かぞくと教会へ行こうとおもっています。,Razmišljam da idemo u kaznu i crkvu.
まだ読んでいませんから、わかりません。,Nema šanse da razumijete.
バリへ行くつもりです。,Planiram otići u Bar.
松本部長と食べるよていです。,Želimo se sastati s gospodinom Matsumoto-om.
こっかいぎじどうの見学のよていです。,Obraćanje uvodnog vodiča za obilazak vježbenica.
9時36分につくよていです。,Želim ti reći da će biti 9:36.
はがいたくて、かたいものが食べられません。,Ne mogu jesti tvrde stvari jer želim da ih razglitam.
歯が痛くて、硬いものが食べられません。,Imam bol u zube i ne mogu jesti tvrde stvari.
わたしは木村さんにけっこんしきにしょうたいされました。,Bio sam upućen u formalni zahtjev od strane gospodina Kimura.
私は木村さんに結婚式に招待されました。,Primio sam poziv na vjenčanje od gospodina Kimura.
夏休みに1ヶ月アルバイトをして15万円もらった。1日当たり5千円もらったことになる。,Lijetnim praznicima radila sam jednog mjeseca kao pomoćna radnica i zaradila 150 tisuća jena. To znači da sam zaradila oko 5000 jena na dan.
彼が住みたがっているのは関東だが、私が住みたいのは関西の方だ。,"On živi u Kanto, ali ja želim živjeti u Kansajskoj regiji."
この町は車がないと生活が出来ないから、どの家でも1台か2台は車がある。,"Ovaj grad je tako živahan da ne možeš živjeti bez automobila, pa u svaka sela ili kuće ima barem jedno ili dva automobila."
"くだけた話し方はまだあまり慣れていないけれど、少しは話せるようになった。
 ","Izašao sam s nekoliko riječi, iako još uvijek nisam baš naviknut na neformalne razgovore, ali sada se barem malo mogu izraziti."
"日本に留学中は、ホームステイの家族をはじめ色々な人にお世話になった。
 ","Dok sam studirao u Japanu, bio sam zahvalan na pomoći mnogih ljudi, uključujući i rodbinu u domaćinstvu."
もうこれ以上は食べられません。,"Ne mogu više to jest, ne mogu više to jest jesti ovo."
アメリカではR指定(R-rated)の映画は、18歳以上の人しか見られません。 ,"U Siječnju, u Americi, filmski su naslovi koji nose rating R (R-rated) dostupni samo osobama starijim od 18 godina."
マイク：大家さん、ちょっとよろしいですか。,Marko: Dobro došli?
大家：ああ、マイクさん、こんばんは。どうしましたか。,"Dobar večer, Mike. Što ima?"
マイク：　あのう、ちょっと困ったことがあるんですが…。,"Marko: E, što je sad?"
大家：　また、どこか壊れたんですか。,"Svećenike, nešto se opet pokvarilo?"
マイク：　いえ、そうじゃなくて、あ、それもあるんですが…。,"Mike: Ma, to nije to, ček, to je još jedno..."
実は、先週隣に引っ越して来た学生が夜中にうるさくて、寝られないんですよ。,"Uistinu, prošloga su tjedna u susjednju prebacio student i zbog buke noću nisam mogao spavati."
大家：　ああ、小林君ね。,Bacio me na brzinu.
マイク：　ええ、毎晩友達が来て、夜中まで大声でワイワイ話すし、音楽はガンガンうるさいし、,"Mike: Da, svaka večer dolaze prijatelji, pričaju glasno do zore, glazba je jako glasno puštena..."
階段をバタバタ上がり下りするし。この間、一度注意したんですけど、全然静かにしてくれなくて…。,"Sklapa se po stepenicama gore-dolje. I dok sam ga jednom upozorio, nije se ni malo smirio..."
大家：　へえ、彼はまじめそうに見えたけどねえ。,"Pa, on je djelovao jako ozbiljno."
