input,llm_results
しゃしん　を　とって　ください,Prosin da uzmete fotografiju.
この かさを かりても いいですか。・・・ええ、いいですよ。どうぞ。,"Možete me molit?  
Hmm... Naravno da.  
E, dobro je, uzmi ga."
ここに にもつを おいてもいいですか。・・・すみません、ちょっと・・・。,Možete li nešto da date ovdje? E...
ここで サッカーを しては いけません。,"Ovito, ne smijete igrati nogomet."
田中さん、お元気ですか。,"Doktor Tanaka, ste li u dobroj seji?"
わたしは今、広島にいます。,Samo sam u Hirošmi.
サリーさんと旅行しています。,Putujem sa Sarijom.
きのうは宮島へ行きました。,Jošta sam prema Osumi otoku otišao.
いい天気で、海がとてもきれいでした。,"Sretno vrijeme/atmosfera, More je bilo jako lepše."
きょうは紅葉を見に行きました。,Danas sam odlazio na ugledanje koraćeva.
昼に紅葉のてんぷらを食べました。,Jutros sam jelo kobat kog tempura.
とてもおいしかったです。,Bio je jako ukusno.
田中さんは食べたことがありますか。,Jeste li ikada jest ujedljivo pojeli nekog?
広島でおいしいお土産を買いましたから、来週持って行きます。,"Osjetite, kupio sam/la dobro ukusne pokloniće u Hirošimiji i donositi ću/ću ih vama sledeći tjedni."
それでは、また。さようなら。,Tada ću odustati. Dođite svlatke.
かぞくと教会へ行こうとおもっています。,Mislim da ću s porodicom odić u crkvu.
まだ読んでいませんから、わかりません。,Nisam još bio učitan u knjigu pa ne znam.
バリへ行くつもりです。,Budu išao/la u Bali.
松本部長と食べるよていです。,Iz predanja je da ću sa gosp. Matsumotom zajedno obrostiti.
こっかいぎじどうの見学のよていです。,Plan za promet (karakterizaciju) procesa registracije izuma.
9時36分につくよていです。,Raspored od 09:36 je izvještaj.
はがいたくて、かたいものが食べられません。,"Boli me od kvačica, teške stvari nemogu da jedem."
歯が痛くて、硬いものが食べられません。,Zube mi boli; tvrdi izvuci ne mogu jesti.
わたしは木村さんにけっこんしきにしょうたいされました。,Bila sam označena od strane gospodine/pane Kiirović po predbrakačkim tradicijama.
私は木村さんに結婚式に招待されました。,Bio sam pozvan na Murakami-ov brinac.
夏休みに1ヶ月アルバイトをして15万円もらった。1日当たり5千円もらったことになる。,"Radio sam jedan mjesec dostađu i dobio sam 150.000 kuna. Dobiveno je iznos od 150.000 kuna po jednom mjesecu rada, što iznosi oko 5.000 kuna po danu."
彼が住みたがっているのは関東だが、私が住みたいのは関西の方だ。,"Želim odmah u Krapinu/Kaštanj, ali on želio bi odmah u Kantō."
この町は車がないと生活が出来ないから、どの家でも1台か2台は車がある。,Ovaj se grad bez automobila ne može živjeti; svaka kuća ima barem jedan ili dva automobil.
"くだけた話し方はまだあまり慣れていないけれど、少しは話せるようになった。
 ","Ipak, još nisam savršeno masterio lagani način govora, ali je početak da govorim postojao."
"日本に留学中は、ホームステイの家族をはじめ色々な人にお世話になった。
 ",Tokom moje studenstve u Japanu bio sam zahvalan na Vašu dobrovoljnu pomoć.
もうこれ以上は食べられません。,Nema mi se već od toga da jedem.
アメリカではR指定(R-rated)の映画は、18歳以上の人しか見られません。 ,"U SAD-u je pristup filmovima s R ocjenom (R-rated) ograničen samo na ljude od 18 godina, a ti uđete se samostalno."
