input,llm_results
しゃしん　を　とって　ください,Uzmite fotografiju
この かさを かりても いいですか。・・・ええ、いいですよ。どうぞ。,"Možete li me ovoj kapiji? – Da, možete. Molim vas, uzmete je."
ここに にもつを おいてもいいですか。・・・すみません、ちょっと・・・。,"Možete li staviti ovdje? ... Izvinite, malo..."
ここで サッカーを しては いけません。,Nije dozvoljeno igrať nogomet ovdje.
田中さん、お元気ですか。,"Gospodine Tanaka, da li ste u redu?"
わたしは今、広島にいます。,Ja sam u Hirošimiju sada.
サリーさんと旅行しています。,Gospođa Sally putuje
きのうは宮島へ行きました。,Juče sam išao na Miyajima.
いい天気で、海がとてもきれいでした。,"Zbog dobro vremena, more je bilo vrlo lijepo."
きょうは紅葉を見に行きました。,Danas sam išao gledati listopadne listje.
昼に紅葉のてんぷらを食べました。,U sredini dana sam jeo tenpura od zimišnih biljaka.
とてもおいしかったです。,Bilo je izuzetno ukusno.
田中さんは食べたことがありますか。,Da li ste ikada jeli?
広島でおいしいお土産を買いましたから、来週持って行きます。,"Kupio sam u Hirošimiju dobru pohod, pa ću ga donijeti narednji tjedan."
それでは、また。さようなら。,"Ponovimo, dođi ponovno. Dovidi se."
かぞくと教会へ行こうとおもっています。,Mislim da ćemo u crkvu s porodicom.
まだ読んでいませんから、わかりません。,"Nisam još pročitao, pa ne znam."
バリへ行くつもりです。,Planiram ići na Bali.
松本部長と食べるよていです。,Imam plan da ću pojesti s glavnim Matsubarama.
こっかいぎじどうの見学のよていです。,Plan za posjet Kōkai gijidō.
9時36分につくよていです。,Planiram da stignem u 9:36.
はがいたくて、かたいものが食べられません。,"Zato što je teško skupiti, ne mogu jesti šta je tvrdo."
歯が痛くて、硬いものが食べられません。,"Zubima je bolno, pa ne mogu jesti tvrde stvari."
わたしは木村さんにけっこんしきにしょうたいされました。,Ja sam bio pozvan na svadbeni čas od strane gospodina Kumimaru.
私は木村さんに結婚式に招待されました。,Ja sam bio pozvan na svadbu gospodinu Kumimura.
夏休みに1ヶ月アルバイトをして15万円もらった。1日当たり5千円もらったことになる。,Tijekom letnjeg vikenda sam radio jedan mjesec kao student i dobio sam 150.000 jenova. Dobio sam 5.000 jenova po dnevno.
彼が住みたがっているのは関東だが、私が住みたいのは関西の方だ。,"Želi da živi u Kantō, ali ja želim da živim u Kansai."
この町は車がないと生活が出来ないから、どの家でも1台か2台は車がある。,"U ovom gradu nije moguće živjeti bez automobila, pa svaka kuća ima jedan ili dva automobila."
"くだけた話し方はまだあまり慣れていないけれど、少しは話せるようになった。
 ","Još nisam dovoljno naviknut na relaksiran način govora, ipak sada mogu nešto reći."
"日本に留学中は、ホームステイの家族をはじめ色々な人にお世話になった。
 ","Tijekom studija u Japanu bio sam pod pomoću različitih ljudi, počevši od porodice koja me je prihvatila u svoje domaćinstvo."
もうこれ以上は食べられません。,Više ne mogu jesti
アメリカではR指定(R-rated)の映画は、18歳以上の人しか見られません。 ,U SAD-u R-označeni (R-rated) filmovi mogu biti gledani samo ljudima starijim od 18 godina.
マイク：大家さん、ちょっとよろしいですか。,"Mike: Gospodine domaćine, možete li mi omogućiti"
大家：ああ、マイクさん、こんばんは。どうしましたか。,"Dajja: Ah, Mike, dobro veče. Šta je s vama?"
マイク：　あのう、ちょっと困ったことがあるんですが…。,"Mike: Ehm, imam malo problema..."
大家：　また、どこか壊れたんですか。,Vlasnik: Opet je nešto pokvarilo?
マイク：　いえ、そうじゃなくて、あ、それもあるんですが…。,"Mike: Ne, nije to, uh, ima i to..."
実は、先週隣に引っ越して来た学生が夜中にうるさくて、寝られないんですよ。,"Na stvarnost, student koji je prebivao u susjedstvu posljednji tjedan šumi noću, pa nemam sna."
大家：　ああ、小林君ね。,"Oji: Ah, Kobayashi-kun, ne?"
マイク：　ええ、毎晩友達が来て、夜中まで大声でワイワイ話すし、音楽はガンガンうるさいし、,"Mike: Da, svake noći dolaze prijatelji, govore glasno i bučno do ranih sati, a glazba je jako glasa i smeta,"
階段をバタバタ上がり下りするし。この間、一度注意したんですけど、全然静かにしてくれなくて…。,"Pješčano se kretati po stepenici, i prethodno sam ih jednom upozorio, ali nisu se tišili..."
大家：　へえ、彼はまじめそうに見えたけどねえ。,"Dajama: Hej, izgledao je ozbiljan, ali nije li to?"
"日本人は、「サービスが第一」という考え方を、ビジネスの様々なところで生かしている。
       ",Japanci primjenjuju ideju da je servis prvi u različitim područjima poslovanja.
どんなところにでも自動販売機が置いてあることから、日本は犯罪が少ない安全な国だと言う人もいる。,"Zbog toga što su automat za prodaju pića postavljeni u svaku moguću lokaciju, neki ljudi tvrde da je Japán siguran zemlja s malo kršenja."
和紙の使い方は時代と共に、もっと多様になってきました。,Korištenje washi papira je s vremenom postajalo sve više raznoliko.
例えば、和紙の新しい利用法を開発しようとした技術者達は、その薄さと強さをさらに改良し「電解コンデンサ紙」というものを生み出しました。,"Na primjer, tehničari koji su pokušavali razviti nove upotrebe za washi papir poboljšali su još više njegovu tankost i silu i stvorili su „elektrolitički kondenzatorski papir“."
